"Heaving frequency in [Hz],  from motor excitations",Wind speed [m/s],0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1.0,10,4.0425153,0.0,0.0,0.0,0.0,3.8929524,0.0,3.9632156,0.0,2.8582194,0.0,0.0,0.0,0.0,3.8977284,0.0,0.0,0.0,2.8314037,0.0,0.0,2.2643678,0.0,0.0,0.0,1.600394,2.0321603,2.3898358,3.6931236,2.8886058,3.4617486,4.320626,0.0,0.0,1.9741167,0.0,0.0,2.3388498,3.509673,4.622741,0.0,2.6840053,2.4109702,0.0,0.0,0.0,3.804753,0.0,4.426124,0.0,4.1645923,0.0,0.0,0.0,0.0,0.0,2.6396348,3.9537387,1.6178918,0.0,0.0,3.574184,0.0,0.0,0.0,0.0,0.5590394,0.0,2.9689038,4.4654617,3.624008,0.0,0.0,4.2792454,0.0,0.0,0.0,5.1032147,0.0,0.0,3.6744666,0.0,0.0,2.814942,0.0,1.0000422,5.198503,0.0,3.9586234,4.5368085,4.1108203,3.4133139,0.0,2.4205875,3.8949575,2.3483617,0.0,3.759642,3.2191246,0.0,2.5640163,0.0,3.1443985,1.9532801,0.0,0.0,0.0,0.0,2.0367513,0.0,3.365842,3.795781,0.0,4.376452,0.0,4.2035456,0.0,0.0,3.2319348,0.0,3.368277,3.2528732,4.6741643,1.8023874,0.0,0.0,3.345775,2.9395187
1.0,10,4.0425153,0.0,0.0,0.0,0.0,3.8929534,0.0,3.9632163,0.0,2.8582191,0.0,0.0,0.0,0.0,3.8977277,0.0,0.0,0.0,2.8314056,0.0,0.0,2.264367,0.0,0.0,0.0,1.6003959,2.0321612,2.3898356,3.6931255,2.888607,3.46175,4.3206253,0.0,0.0,1.9741162,0.0,0.0,2.3388488,3.509673,4.6227427,0.0,2.684006,2.410971,0.0,0.0,0.0,3.804753,0.0,4.426124,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396344,3.9537392,1.6178901,0.0,0.0,3.5741837,0.0,0.0,0.0,0.0,0.5590405,0.0,2.9689033,4.4654627,3.624009,0.0,0.0,4.2792454,0.0,0.0,0.0,5.103215,0.0,0.0,3.674467,0.0,0.0,2.8149421,0.0,1.0000423,5.198505,0.0,3.9586215,4.536807,4.11082,3.4133155,0.0,2.4205885,3.8949597,2.3483598,0.0,3.7596414,3.2191243,0.0,2.5640175,0.0,3.144401,1.9532804,0.0,0.0,0.0,0.0,2.0367503,0.0,3.3658426,3.7957807,0.0,4.376452,0.0,4.203546,0.0,0.0,3.231933,0.0,3.3682778,3.2528756,4.6741657,1.802387,0.0,0.0,3.3457727,2.9395173
1.0,10,4.042516,0.0,0.0,0.0,0.0,3.8929532,0.0,3.9632158,0.0,2.8582187,0.0,0.0,0.0,0.0,3.8977277,0.0,0.0,0.0,2.8314054,0.0,0.0,2.264367,0.0,0.0,0.0,1.6003971,2.032162,2.389836,3.6931243,2.8886073,3.4617503,4.3206253,0.0,0.0,1.9741153,0.0,0.0,2.338849,3.5096736,4.6227436,0.0,2.6840067,2.410971,0.0,0.0,0.0,3.8047547,0.0,4.426124,0.0,4.164592,0.0,0.0,0.0,0.0,0.0,2.6396346,3.9537387,1.61789,0.0,0.0,3.5741844,0.0,0.0,0.0,0.0,0.55904007,0.0,2.9689016,4.465462,3.6240091,0.0,0.0,4.2792454,0.0,0.0,0.0,5.103215,0.0,0.0,3.6744668,0.0,0.0,2.8149424,0.0,1.0000424,5.1985054,0.0,3.9586225,4.536808,4.11082,3.4133153,0.0,2.4205892,3.8949606,2.3483608,0.0,3.759642,3.219124,0.0,2.5640182,0.0,3.1444018,1.9532802,0.0,0.0,0.0,0.0,2.0367506,0.0,3.365843,3.7957797,0.0,4.376452,0.0,4.203545,0.0,0.0,3.2319329,0.0,3.3682766,3.252876,4.674166,1.8023874,0.0,0.0,3.3457727,2.9395168
1.0,10,4.0425143,0.0,0.0,0.0,0.0,3.8929527,0.0,3.9632158,0.0,2.8582191,0.0,0.0,0.0,0.0,3.8977294,0.0,0.0,0.0,2.8314044,0.0,0.0,2.264367,0.0,0.0,0.0,1.6003958,2.0321612,2.3898356,3.6931238,2.8886065,3.4617507,4.3206263,0.0,0.0,1.9741169,0.0,0.0,2.3388498,3.5096722,4.6227417,0.0,2.6840074,2.410971,0.0,0.0,0.0,3.8047543,0.0,4.4261246,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.639635,3.9537382,1.6178911,0.0,0.0,3.5741847,0.0,0.0,0.0,0.0,0.5590398,0.0,2.9689023,4.465462,3.6240091,0.0,0.0,4.2792463,0.0,0.0,0.0,5.1032157,0.0,0.0,3.6744676,0.0,0.0,2.8149424,0.0,1.0000418,5.1985044,0.0,3.9586217,4.536809,4.1108203,3.413315,0.0,2.4205885,3.8949592,2.348362,0.0,3.7596405,3.2191243,0.0,2.564017,0.0,3.144401,1.9532799,0.0,0.0,0.0,0.0,2.0367508,0.0,3.3658433,3.795781,0.0,4.3764534,0.0,4.203545,0.0,0.0,3.231935,0.0,3.368278,3.2528746,4.674165,1.8023877,0.0,0.0,3.3457742,2.9395196
1.0,10,4.042517,0.0,0.0,0.0,0.0,3.8929527,0.0,3.963217,0.0,2.858219,0.0,0.0,0.0,0.0,3.8977275,0.0,0.0,0.0,2.8314054,0.0,0.0,2.2643673,0.0,0.0,0.0,1.6003953,2.032162,2.3898356,3.6931226,2.888606,3.4617488,4.320626,0.0,0.0,1.974116,0.0,0.0,2.3388493,3.5096745,4.6227417,0.0,2.684006,2.4109702,0.0,0.0,0.0,3.8047543,0.0,4.426125,0.0,4.1645923,0.0,0.0,0.0,0.0,0.0,2.639635,3.9537387,1.6178912,0.0,0.0,3.574184,0.0,0.0,0.0,0.0,0.5590395,0.0,2.9689016,4.4654613,3.6240091,0.0,0.0,4.279247,0.0,0.0,0.0,5.103214,0.0,0.0,3.6744657,0.0,0.0,2.814942,0.0,1.0000418,5.198505,0.0,3.9586234,4.536808,4.1108212,3.413314,0.0,2.420589,3.8949583,2.348361,0.0,3.7596424,3.2191246,0.0,2.5640185,0.0,3.1444006,1.9532801,0.0,0.0,0.0,0.0,2.0367517,0.0,3.3658433,3.7957802,0.0,4.3764524,0.0,4.2035446,0.0,0.0,3.2319338,0.0,3.3682768,3.2528744,4.6741657,1.8023875,0.0,0.0,3.345773,2.9395182
1.0,10,4.042515,0.0,0.0,0.0,0.0,3.8929534,0.0,3.9632142,0.0,2.8582191,0.0,0.0,0.0,0.0,3.8977268,0.0,0.0,0.0,2.831405,0.0,0.0,2.2643673,0.0,0.0,0.0,1.600395,2.032161,2.3898368,3.693125,2.8886073,3.4617496,4.320625,0.0,0.0,1.974116,0.0,0.0,2.3388498,3.509673,4.6227427,0.0,2.6840057,2.4109697,0.0,0.0,0.0,3.804753,0.0,4.4261255,0.0,4.1645923,0.0,0.0,0.0,0.0,0.0,2.6396346,3.9537392,1.6178904,0.0,0.0,3.5741842,0.0,0.0,0.0,0.0,0.5590402,0.0,2.968904,4.465462,3.6240094,0.0,0.0,4.279246,0.0,0.0,0.0,5.1032147,0.0,0.0,3.6744666,0.0,0.0,2.8149421,0.0,1.0000422,5.1985044,0.0,3.9586215,4.536808,4.11082,3.4133155,0.0,2.4205885,3.8949587,2.3483608,0.0,3.7596416,3.219124,0.0,2.5640175,0.0,3.1444001,1.953281,0.0,0.0,0.0,0.0,2.0367513,0.0,3.3658423,3.7957807,0.0,4.3764524,0.0,4.203544,0.0,0.0,3.2319336,0.0,3.368277,3.2528746,4.6741652,1.8023871,0.0,0.0,3.3457735,2.9395182
1.0,10,4.042516,0.0,0.0,0.0,0.0,3.8929524,0.0,3.9632154,0.0,2.8582194,0.0,0.0,0.0,0.0,3.8977287,0.0,0.0,0.0,2.8314054,0.0,0.0,2.2643678,0.0,0.0,0.0,1.6003953,2.0321617,2.3898358,3.6931233,2.8886058,3.4617503,4.3206253,0.0,0.0,1.9741157,0.0,0.0,2.3388488,3.509673,4.622741,0.0,2.6840067,2.41097,0.0,0.0,0.0,3.804754,0.0,4.426125,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396346,3.9537392,1.6178911,0.0,0.0,3.5741851,0.0,0.0,0.0,0.0,0.5590398,0.0,2.9689023,4.465462,3.6240096,0.0,0.0,4.2792454,0.0,0.0,0.0,5.103215,0.0,0.0,3.6744666,0.0,0.0,2.8149416,0.0,1.0000423,5.1985054,0.0,3.9586234,4.536809,4.1108203,3.413314,0.0,2.420589,3.8949592,2.3483615,0.0,3.7596416,3.2191248,0.0,2.5640178,0.0,3.1444018,1.95328,0.0,0.0,0.0,0.0,2.0367513,0.0,3.3658426,3.795781,0.0,4.3764515,0.0,4.203545,0.0,0.0,3.2319336,0.0,3.3682768,3.2528746,4.674165,1.8023875,0.0,0.0,3.345774,2.9395185
1.0,10,4.0425158,0.0,0.0,0.0,0.0,3.8929527,0.0,3.9632149,0.0,2.8582196,0.0,0.0,0.0,0.0,3.8977287,0.0,0.0,0.0,2.8314054,0.0,0.0,2.264368,0.0,0.0,0.0,1.6003952,2.0321612,2.3898358,3.6931236,2.888606,3.4617505,4.320626,0.0,0.0,1.974116,0.0,0.0,2.3388488,3.5096726,4.622742,0.0,2.6840065,2.41097,0.0,0.0,0.0,3.8047538,0.0,4.4261246,0.0,4.1645923,0.0,0.0,0.0,0.0,0.0,2.639635,3.9537382,1.6178913,0.0,0.0,3.5741854,0.0,0.0,0.0,0.0,0.55903983,0.0,2.9689019,4.4654613,3.6240094,0.0,0.0,4.279245,0.0,0.0,0.0,5.103215,0.0,0.0,3.674467,0.0,0.0,2.8149414,0.0,1.0000426,5.198505,0.0,3.958623,4.536809,4.110821,3.4133136,0.0,2.420589,3.8949592,2.3483615,0.0,3.759642,3.2191243,0.0,2.5640178,0.0,3.1444013,1.9532796,0.0,0.0,0.0,0.0,2.0367508,0.0,3.365842,3.7957804,0.0,4.3764515,0.0,4.203545,0.0,0.0,3.2319336,0.0,3.3682761,3.252874,4.674165,1.8023872,0.0,0.0,3.3457742,2.939518
1.0,10,4.042516,0.0,0.0,0.0,0.0,3.8929534,0.0,3.963215,0.0,2.85822,0.0,0.0,0.0,0.0,3.897728,0.0,0.0,0.0,2.8314044,0.0,0.0,2.2643683,0.0,0.0,0.0,1.6003946,2.0321608,2.389837,3.693124,2.8886058,3.4617484,4.3206244,0.0,0.0,1.9741164,0.0,0.0,2.3388493,3.5096745,4.6227417,0.0,2.684005,2.410969,0.0,0.0,0.0,3.804753,0.0,4.426125,0.0,4.1645927,0.0,0.0,0.0,0.0,0.0,2.6396346,3.9537387,1.6178911,0.0,0.0,3.574184,0.0,0.0,0.0,0.0,0.55904025,0.0,2.9689043,4.4654613,3.6240094,0.0,0.0,4.279246,0.0,0.0,0.0,5.1032147,0.0,0.0,3.6744666,0.0,0.0,2.814942,0.0,1.0000434,5.1985044,0.0,3.958624,4.5368085,4.1108212,3.4133134,0.0,2.4205887,3.8949585,2.3483608,0.0,3.7596426,3.2191243,0.0,2.5640175,0.0,3.1444006,1.9532807,0.0,0.0,0.0,0.0,2.0367517,0.0,3.3658416,3.7957811,0.0,4.376452,0.0,4.203545,0.0,0.0,3.2319326,0.0,3.368277,3.252874,4.6741643,1.8023866,0.0,0.0,3.345774,2.939518
1.0,10,4.0425158,0.0,0.0,0.0,0.0,3.892952,0.0,3.9632149,0.0,2.8582191,0.0,0.0,0.0,0.0,3.8977287,0.0,0.0,0.0,2.8314042,0.0,0.0,2.2643685,0.0,0.0,0.0,1.6003933,2.0321612,2.3898358,3.6931236,2.888606,3.46175,4.320626,0.0,0.0,1.9741162,0.0,0.0,2.3388486,3.5096724,4.622741,0.0,2.6840067,2.4109707,0.0,0.0,0.0,3.8047535,0.0,4.426124,0.0,4.164592,0.0,0.0,0.0,0.0,0.0,2.6396344,3.9537387,1.6178917,0.0,0.0,3.5741856,0.0,0.0,0.0,0.0,0.5590399,0.0,2.9689012,4.465462,3.6240094,0.0,0.0,4.2792454,0.0,0.0,0.0,5.103215,0.0,0.0,3.674466,0.0,0.0,2.8149416,0.0,1.0000422,5.1985044,0.0,3.9586234,4.5368085,4.11082,3.4133132,0.0,2.420589,3.8949587,2.348361,0.0,3.759642,3.2191248,0.0,2.5640178,0.0,3.1444001,1.9532791,0.0,0.0,0.0,0.0,2.0367515,0.0,3.3658423,3.7957807,0.0,4.37645,0.0,4.203544,0.0,0.0,3.2319334,0.0,3.3682768,3.252873,4.674166,1.8023863,0.0,0.0,3.3457747,2.9395182
